2024-05-17 11:31:51 status unpacked libapt-pkg5.0:amd64 1.6.12ubuntu0.2
2024-05-17 11:31:51 status half-installed libapt-pkg5.0:amd64 1.6.12ubuntu0.2
2024-05-17 11:31:51 status half-installed libapt-pkg5.0:amd64 1.6.12ubuntu0.2
2024-05-17 11:31:52 status unpacked libapt-pkg5.0:amd64 1.6.17
2024-05-17 11:31:52 status unpacked libapt-pkg5.0:amd64 1.6.17
2024-05-17 11:31:52 startup packages configure
2024-05-17 11:31:52 configure libapt-pkg5.0:amd64 1.6.17 <none>
2024-05-17 11:31:52 status unpacked libapt-pkg5.0:amd64 1.6.17
2024-05-17 11:31:52 status half-configured libapt-pkg5.0:amd64 1.6.17
2024-05-17 11:31:52 status installed libapt-pkg5.0:amd64 1.6.17
2024-05-17 11:31:52 startup archives unpack
2024-05-17 11:31:53 upgrade libapt-inst2.0:amd64 1.6.12ubuntu0.2 1.6.17
2024-05-17 11:31:53 status half-configured libapt-inst2.0:amd64 1.6.12ubuntu0.2
2024-05-17 11:31:53 status unpacked libapt-inst2.0:amd64 1.6.12ubuntu0.2
2024-05-17 11:31:53 status half-installed libapt-inst2.0:amd64 1.6.12ubuntu0.2
2024-05-17 11:31:53 status half-installed libapt-inst2.0:amd64 1.6.12ubuntu0.2
2024-05-17 11:31:53 status unpacked libapt-inst2.0:amd64 1.6.17
2024-05-17 11:31:53 status unpacked libapt-inst2.0:amd64 1.6.17
2024-05-17 11:31:54 upgrade apt:amd64 1.6.12ubuntu0.2 1.6.17
2024-05-17 11:31:54 status half-configured apt:amd64 1.6.12ubuntu0.2
2024-05-17 11:31:54 status unpacked apt:amd64 1.6.12ubuntu0.2
2024-05-17 11:31:54 status half-installed apt:amd64 1.6.12ubuntu0.2
2024-05-17 11:31:55 status half-installed apt:amd64 1.6.12ubuntu0.2
2024-05-17 11:31:55 status unpacked apt:amd64 1.6.17
2024-05-17 11:31:55 status unpacked apt:amd64 1.6.17
2024-05-17 11:31:56 startup packages configure
2024-05-17 11:31:56 configure apt:amd64 1.6.17 <none>
2024-05-17 11:31:56 status unpacked apt:amd64 1.6.17
